token,en,zh-Hans,ja,es,de,fr,note
astra.m.flare.note,"The wide soft glow around the core is mostly bloom; the flare adds the tight halo, a faint ring at 0.105, thin horizontal and vertical streaks and three small ghosts mirrored through the screen centre. Its strength is 0.28, deliberately restrained so that a tiny tracking error can never read as a second star.",核心周围那团宽而软的光主要是泛光；光晕只补一圈紧贴的光环、0.105 处一道淡淡的环、横竖两条细条纹，以及三个以画面中心为镜像的小鬼影。强度只有 0.28，刻意克制，免得一点点跟踪误差看起来像多了一颗星。,コアのまわりの広く柔らかな光はほとんどがブルーム。フレアが足すのは密着したハロー、0.105 の位置の淡い環、細い縦横の筋、画面中心を鏡に置かれた三つの小さなゴースト。強さは 0.28 で、わずかな追跡誤差が二つ目の星に見えないよう意図的に抑えてある。,"El brillo ancho y suave alrededor del núcleo es sobre todo resplandor; el destello añade el halo ceñido, un anillo tenue en 0,105, finas estrías horizontales y verticales y tres pequeños fantasmas reflejados por el centro de la pantalla. Su fuerza es 0,28, contenida a propósito para que un mínimo error de seguimiento nunca parezca una segunda estrella.","Das breite weiche Leuchten um den Kern ist größtenteils Bloom; der Flare fügt den engen Halo, einen schwachen Ring bei 0,105, dünne horizontale und vertikale Streifen und drei kleine, durch die Bildschirmmitte gespiegelte Geister hinzu. Seine Stärke beträgt 0,28 – bewusst zurückhaltend, damit ein winziger Trackingfehler nie als zweiter Stern gelesen wird.","La large lueur douce autour du noyau vient surtout du bloom ; le reflet ajoute le halo serré, un anneau ténu à 0,105, de fines traînées horizontales et verticales et trois petits fantômes mis en miroir par le centre de l’écran. Sa force est de 0,28, volontairement retenue pour qu’une infime erreur de suivi ne se lise jamais comme une seconde étoile.",math note
astra.m.spin.title,Drag to tilt,拖动倾斜,ドラッグで傾ける,Arrastrar para inclinar,Ziehen zum Kippen,Glisser pour incliner,math title
astra.m.spin.vars,"θ_x, θ_y the target tilt · κ radians per pixel of drag · Δp pointer movement · θ_k the tilt each stroke has actually reached · λ how fast it follows (14 while dragging, 5.5 while returning) · lag_k 0.18 + 0.17k, so outer strokes trail the inner ones · ρ how much of that lag applies",θ_x、θ_y：目标倾角 · κ：每拖动一像素的弧度 · Δp：指针位移 · θ_k：每条笔画实际到达的倾角 · λ：跟随的快慢（拖动时 14，回正时 5.5） · lag_k：0.18 + 0.17k，外圈的笔画比里面的慢半拍 · ρ：这份滞后生效的比例,"θ_x, θ_y：目標の傾き · κ：ドラッグ 1 ピクセルあたりのラジアン · Δp：ポインタの移動 · θ_k：各筆致が実際に到達した傾き · λ：追従の速さ（ドラッグ中 14、戻るとき 5.5） · lag_k：0.18 + 0.17k、外側の筆致は内側より遅れる · ρ：その遅れの効き具合","θ_x, θ_y inclinación objetivo · κ radianes por píxel de arrastre · Δp movimiento del puntero · θ_k inclinación que cada trazo ha alcanzado realmente · λ rapidez con que sigue (14 al arrastrar, 5,5 al volver) · lag_k 0,18 + 0,17k, así los trazos exteriores van detrás de los interiores · ρ cuánto de ese retraso se aplica","θ_x, θ_y Zielneigung · κ Radiant je Pixel Zug · Δp Zeigerbewegung · θ_k die Neigung, die jeder Strich tatsächlich erreicht hat · λ wie schnell er folgt (14 beim Ziehen, 5,5 beim Zurückkehren) · lag_k 0,18 + 0,17k, sodass äußere Striche den inneren nachhinken · ρ wie viel dieser Verzögerung wirkt","θ_x, θ_y inclinaison cible · κ radians par pixel de glissement · Δp déplacement du pointeur · θ_k inclinaison réellement atteinte par chaque trait · λ vitesse de suivi (14 pendant le glissement, 5,5 au retour) · lag_k 0,18 + 0,17k, les traits extérieurs traînent derrière les intérieurs · ρ part de ce retard qui s’applique",math vars
astra.m.spin.note,"The field is a real 3D object: each stroke carries a sine relief in z, so tilting it parts the arms in depth. The strokes do not tilt together — each follows the pointer with its own lag, the outermost slowest, which makes the galaxy feel heavy. Release and everything springs back to face-forward at a slower rate.",这片星场是个真实的三维物体：每条笔画在 z 方向都有一段正弦起伏，倾斜时臂会在纵深上分开。笔画不是一起转的——每条按自己的滞后跟着指针，最外圈最慢，星系因此显得有分量。松手后一切以更慢的速率弹回正面。,この場は本物の三次元物体だ。各筆致は z に正弦の起伏を持ち、傾けると腕は奥行き方向に分かれる。筆致は一緒には傾かない。それぞれ固有の遅れでポインタに追従し、最も外側が最も遅い。だから銀河には重みが感じられる。放すと、すべてがより遅い速度で正面へ跳ね戻る。,"El campo es un objeto 3D real: cada trazo lleva un relieve seno en z, así que al inclinarlo los brazos se separan en profundidad. Los trazos no se inclinan a la vez: cada uno sigue al puntero con su propio retraso, el más exterior el más lento, lo que hace que la galaxia parezca pesada. Al soltar, todo vuelve a mirar al frente a un ritmo más lento.","Das Feld ist ein echtes 3D-Objekt: jeder Strich trägt ein Sinusrelief in z, sodass das Kippen die Arme in der Tiefe auseinanderzieht. Die Striche kippen nicht gemeinsam – jeder folgt dem Zeiger mit eigener Verzögerung, der äußerste am langsamsten, was die Galaxie schwer wirken lässt. Loslassen, und alles federt langsamer wieder nach vorn.","Le champ est un vrai objet 3D : chaque trait porte un relief en sinus sur z, si bien qu’en l’inclinant les bras s’écartent en profondeur. Les traits ne basculent pas ensemble — chacun suit le pointeur avec son propre retard, le plus extérieur le plus lentement, ce qui donne à la galaxie sa lourdeur. Relâchez, et tout revient de face à un rythme plus lent.",math note
astra.lang.palette,"Black ground, a blue ambient veil in the corners, two blues, two oranges and one white. Nothing in between: every star is exactly one of five colours, and only saturation and bloom mix them on screen.",黑底，四角一层蓝色环境光，两种蓝、两种橙、一种白。中间没有过渡色：每颗星恰好是五色之一，屏幕上的混合只来自饱和与泛光。,黒い地に、四隅の青い環境光、二つの青、二つの橙、一つの白。中間色はない。すべての星は五色のうちの一つで、画面上で混ざるのは飽和とブルームだけ。,"Fondo negro, un velo ambiental azul en las esquinas, dos azules, dos naranjas y un blanco. Nada intermedio: cada estrella es exactamente uno de cinco colores, y solo la saturación y el resplandor los mezclan en pantalla.","Schwarzer Grund, ein blauer Umgebungsschleier in den Ecken, zwei Blau-, zwei Orangetöne und ein Weiß. Nichts dazwischen: jeder Stern ist genau eine von fünf Farben, und nur Sättigung und Bloom mischen sie auf dem Bildschirm.","Fond noir, un voile ambiant bleu dans les coins, deux bleus, deux oranges et un blanc. Rien entre les deux : chaque étoile est exactement l’une de cinq couleurs, et seuls la saturation et le bloom les mélangent à l’écran.",design language: palette
astra.lang.p1,"Draw the shape by hand, then let mathematics populate it. Five Bézier strokes carry more intent than any spiral equation.",形状用手画，再让数学去填。五条贝塞尔笔画比任何螺旋方程都更有意图。,形は手で描き、埋めるのは数学に任せる。五本のベジェの筆致は、どんな渦巻きの式より意図を語る。,Dibuja la forma a mano y deja que las matemáticas la pueblen. Cinco trazos Bézier llevan más intención que cualquier ecuación espiral.,Zeichne die Form von Hand und lass die Mathematik sie bevölkern. Fünf Bézier-Striche tragen mehr Absicht als jede Spiralgleichung.,"Dessinez la forme à la main, puis laissez les mathématiques la peupler. Cinq traits de Bézier portent plus d’intention que n’importe quelle équation de spirale.",design principle
astra.lang.p2,"Sum light linearly, bloom in linear space, tone-map once at the end. Never blend in display space.",光线性相加，泛光在线性空间里做，最后只做一次色调映射。永远不要在显示空间里混合。,光は線形に足し、ブルームも線形空間で、トーンマッピングは最後に一度だけ。表示空間で混ぜてはいけない。,"Suma la luz linealmente, aplica el resplandor en espacio lineal y mapea tonos una sola vez al final. Nunca mezcles en espacio de pantalla.","Licht linear summieren, Bloom im linearen Raum, Tone-Mapping einmal am Ende. Nie im Anzeigeraum mischen.","Sommez la lumière linéairement, faites le bloom dans l’espace linéaire, appliquez le tone mapping une seule fois à la fin. Ne mélangez jamais dans l’espace d’affichage.",design principle
astra.lang.p3,"Hierarchy comes from a few hero stars, not from making everything brighter.",层次来自少数几颗主星，而不是把所有东西都调亮。,階層は少数の主役の星から生まれる。すべてを明るくすることからではない。,"La jerarquía nace de unas pocas estrellas principales, no de hacer todo más brillante.","Hierarchie entsteht aus wenigen Hauptsternen, nicht daraus, alles heller zu machen.","La hiérarchie vient de quelques étoiles vedettes, pas d’un éclaircissement général.",design principle
astra.lang.p4,"The glyph must not move. Let the stars flow through it instead, each stroke at its own pace, always toward the core.",字形不能动。让星从中穿流，每条笔画各有各的节奏，永远朝向核心。,字形は動かしてはいけない。代わりに星を流す。筆致ごとに固有の速さで、常に中心へ。,"El glifo no debe moverse. Deja que las estrellas fluyan a través de él, cada trazo a su ritmo, siempre hacia el núcleo.","Die Glyphe darf sich nicht bewegen. Lass stattdessen die Sterne hindurchströmen, jeder Strich in seinem Tempo, immer zum Kern.","Le glyphe ne doit pas bouger. Laissez plutôt les étoiles le traverser, chaque trait à son rythme, toujours vers le noyau.",design principle
astra.lang.p5,"Arrive from a sky, not from black. Scatter everything first, then gather it; the eye reads convergence as depth.",从一片天里来，而不是从黑里来。先把一切散开，再收拢；眼睛会把汇聚读成纵深。,黒からではなく、空から現れる。まずすべてを散らし、それから集める。目は収束を奥行きとして読む。,"Llega desde un cielo, no desde el negro. Dispersa todo primero y luego reúnelo; el ojo lee la convergencia como profundidad.","Komm aus einem Himmel, nicht aus dem Schwarz. Erst alles verstreuen, dann versammeln; das Auge liest Konvergenz als Tiefe.","Arrivez d’un ciel, pas du noir. Dispersez tout d’abord, puis rassemblez ; l’œil lit la convergence comme de la profondeur.",design principle
astra.lang.p6,"Interaction is a tilt with weight: outer strokes lag, and everything returns to face-forward on release.",交互是带分量的倾斜：外圈的笔画慢半拍，松手后一切回到正面。,操作は重みのある傾き。外側の筆致は遅れ、放せばすべてが正面へ戻る。,La interacción es una inclinación con peso: los trazos exteriores van con retraso y todo vuelve al frente al soltar.,"Interaktion ist ein Kippen mit Gewicht: äußere Striche hinken nach, und beim Loslassen kehrt alles nach vorn zurück.","L’interaction est une inclinaison qui a du poids : les traits extérieurs traînent, et tout revient de face au relâchement.",design principle
astra.origin.v1,"The reference is the hero of OpenAI’s GPT-6 Astra announcement page, linked above.",参考对象是上面链接的 OpenAI GPT-6 Astra 发布页的主视觉。,参照は上のリンク先、OpenAI の GPT-6 Astra 発表ページのヒーロー。,"La referencia es el héroe de la página de anuncio de GPT-6 Astra de OpenAI, enlazada arriba.",Referenz ist der Hero der oben verlinkten GPT-6-Astra-Ankündigungsseite von OpenAI.,"La référence est le visuel principal de la page d’annonce GPT-6 Astra d’OpenAI, en lien ci-dessus.",origin: verified
astra.origin.v3,"Frame-by-frame tracking of a screen recording confirms the model: stars stream inward along the strokes at constant speed, the core cluster turns rigidly, background stars stay put, and the entrance begins as a scattered sky.",对屏幕录像逐帧追踪的结果与模型一致：星沿笔画匀速向内流，核心星团刚性自转，背景星不动，入场从一片散布的天开始。,画面録画をフレームごとに追跡した結果はモデルと一致する。星は筆致に沿って一定速度で内へ流れ、コアの星団は剛体として回り、背景の星は動かず、登場は散らばった空から始まる。,"El seguimiento fotograma a fotograma de una grabación de pantalla confirma el modelo: las estrellas fluyen hacia dentro por los trazos a velocidad constante, el cúmulo central gira rígidamente, las estrellas de fondo no se mueven y la entrada empieza como un cielo disperso.","Die bildweise Verfolgung einer Bildschirmaufnahme bestätigt das Modell: Sterne strömen entlang der Striche mit konstanter Geschwindigkeit nach innen, der Kernhaufen dreht sich starr, Hintergrundsterne bleiben stehen, und der Eintritt beginnt als verstreuter Himmel.","Le suivi image par image d’un enregistrement d’écran confirme le modèle : les étoiles filent vers l’intérieur le long des traits à vitesse constante, l’amas central tourne d’un bloc, les étoiles de fond restent en place, et l’entrée commence par un ciel dispersé.",origin: verified
astra.origin.r1,"The implementation here is ours: WebGL2 and Canvas 2D written from scratch, not their code. The bloom, flare and dirt passes are approximations of the original post-processing chain, and the drag sensitivity and the short delay before the entrance are our choices.",这里的实现是我们自己的：WebGL2 与 Canvas 2D 都是从头写的，不是他们的代码。泛光、光晕与颗粒是对原版后期链的近似；拖动灵敏度与入场前的短暂延迟是我们定的。,ここでの実装は私たちのもの。WebGL2 と Canvas 2D はどちらも一から書いたもので、彼らのコードではない。ブルーム、フレア、粒子は原版の後処理チェーンの近似であり、ドラッグの感度と登場前の短い遅れは私たちの選択。,"La implementación aquí es nuestra: WebGL2 y Canvas 2D escritos desde cero, no su código. El resplandor, el destello y el grano son aproximaciones de la cadena de posprocesado original, y la sensibilidad del arrastre y el breve retardo antes de la entrada son decisiones nuestras.","Die Implementierung hier ist unsere: WebGL2 und Canvas 2D von Grund auf geschrieben, nicht ihr Code. Bloom, Flare und Körnung sind Näherungen der originalen Post-Processing-Kette, und die Zieh-Empfindlichkeit wie die kurze Verzögerung vor dem Eintritt sind unsere Entscheidungen.","L’implémentation ici est la nôtre : WebGL2 et Canvas 2D écrits de zéro, pas leur code. Le bloom, le reflet et le grain sont des approximations de la chaîne de post-traitement d’origine, et la sensibilité du glissement comme le bref délai avant l’entrée sont nos choix.",origin: reconstructed
astra.origin.r2,"The flow speed default (1.3) is a calibration, not a derivation: it was set by tracking a screen recording, in which the stars stream about 1.6× faster than the value we started from.",流速默认值（1.3）是校准出来的，不是推导出来的：它按屏幕录像追踪设定，录像里星的流速比我们最初取的值快约 1.6 倍。,流速の既定値（1.3）は導出ではなく校正の結果。画面録画を追跡して決めたもので、録画では星が最初に取った値より約 1.6 倍速く流れる。,"La velocidad de flujo por defecto (1,3) es una calibración, no una deducción: se fijó siguiendo una grabación de pantalla, en la que las estrellas fluyen unas 1,6 veces más rápido que el valor del que partimos.","Die Standard-Fließgeschwindigkeit (1,3) ist eine Kalibrierung, keine Herleitung: Sie wurde anhand einer Bildschirmaufnahme bestimmt, in der die Sterne rund 1,6-mal schneller strömen als der Ausgangswert.","La vitesse de flux par défaut (1,3) est un étalonnage, pas une déduction : elle a été fixée en suivant un enregistrement d’écran, où les étoiles filent environ 1,6 fois plus vite que la valeur de départ.",origin: reconstructed
